timestamp,temperature.gpu,power.draw,power.limit,utilization.gpu,utilization.memory,memory.used,memory.total,clocks.gr,clocks.mem,fan.speed,pstate
2026/02/05 00:14:20.448,68,19.98,[N/A],34,10,1495,4096,1575,7000,[N/A],P0
2026/02/05 00:14:21.518,68,19.96,[N/A],34,10,1495,4096,1575,7000,[N/A],P0
2026/02/05 00:14:22.580,69,21.38,[N/A],30,9,1559,4096,1575,7000,[N/A],P0
2026/02/05 00:14:23.648,69,23.93,[N/A],39,14,1559,4096,1642,7000,[N/A],P0
2026/02/05 00:14:24.715,69,21.57,[N/A],32,9,1565,4096,1642,7000,[N/A],P0
2026/02/05 00:14:25.784,69,19.31,[N/A],31,10,1565,4096,1575,7000,[N/A],P0
2026/02/05 00:14:26.848,69,18.96,[N/A],31,9,1565,4096,1575,7000,[N/A],P0
2026/02/05 00:14:27.913,69,19.35,[N/A],32,9,1571,4096,1575,7000,[N/A],P0
2026/02/05 00:14:28.983,69,19.53,[N/A],30,8,1571,4096,1575,7000,[N/A],P0
2026/02/05 00:14:30.049,69,19.05,[N/A],31,9,1571,4096,1575,7000,[N/A],P0
2026/02/05 00:14:31.107,69,18.93,[N/A],31,9,1571,4096,1575,7000,[N/A],P0
2026/02/05 00:14:32.174,69,18.90,[N/A],31,9,1571,4096,1575,7000,[N/A],P0
2026/02/05 00:14:33.233,69,18.85,[N/A],32,9,1571,4096,1575,7000,[N/A],P0
2026/02/05 00:14:34.302,69,19.28,[N/A],31,9,1571,4096,1575,7000,[N/A],P0
2026/02/05 00:14:35.368,69,19.03,[N/A],31,9,1571,4096,1575,7000,[N/A],P0
2026/02/05 00:14:36.435,69,19.00,[N/A],31,9,1571,4096,1575,7000,[N/A],P0
2026/02/05 00:14:37.494,69,23.01,[N/A],32,9,1571,4096,1575,7000,[N/A],P0
2026/02/05 00:14:38.567,69,19.54,[N/A],31,9,1571,4096,1575,7000,[N/A],P0
2026/02/05 00:14:39.637,69,19.10,[N/A],31,9,1571,4096,1575,7000,[N/A],P0
2026/02/05 00:14:40.705,69,19.08,[N/A],32,9,1571,4096,1575,7000,[N/A],P0
2026/02/05 00:14:41.777,69,19.01,[N/A],31,9,1571,4096,1575,7000,[N/A],P0
2026/02/05 00:14:42.845,69,18.99,[N/A],31,9,1571,4096,1575,7000,[N/A],P0
2026/02/05 00:14:43.913,69,19.08,[N/A],31,9,1571,4096,1575,7000,[N/A],P0
2026/02/05 00:14:44.982,68,18.89,[N/A],31,9,1571,4096,1575,7000,[N/A],P0
2026/02/05 00:14:46.054,69,19.07,[N/A],31,9,1571,4096,1575,7000,[N/A],P0
2026/02/05 00:14:47.121,69,19.13,[N/A],31,9,1571,4096,1575,7000,[N/A],P0
2026/02/05 00:14:48.193,69,19.15,[N/A],31,9,1571,4096,1575,7000,[N/A],P0
2026/02/05 00:14:49.263,68,19.09,[N/A],31,9,1571,4096,1575,7000,[N/A],P0
2026/02/05 00:14:50.345,69,19.03,[N/A],30,8,1578,4096,1575,7000,[N/A],P0
2026/02/05 00:14:51.413,69,19.02,[N/A],31,8,1578,4096,1575,7000,[N/A],P0
2026/02/05 00:14:52.480,68,19.07,[N/A],31,9,1578,4096,1575,7000,[N/A],P0
2026/02/05 00:14:53.550,68,19.20,[N/A],31,9,1578,4096,1575,7000,[N/A],P0
2026/02/05 00:14:54.620,68,19.02,[N/A],31,9,1578,4096,1575,7000,[N/A],P0
2026/02/05 00:14:55.692,68,19.00,[N/A],31,9,1578,4096,1575,7000,[N/A],P0
2026/02/05 00:14:56.748,69,19.00,[N/A],31,9,1578,4096,1575,7000,[N/A],P0
2026/02/05 00:14:57.816,68,19.10,[N/A],31,9,1578,4096,1575,7000,[N/A],P0
2026/02/05 00:14:58.885,68,19.14,[N/A],31,9,1578,4096,1575,7000,[N/A],P0
2026/02/05 00:14:59.951,68,18.98,[N/A],31,9,1578,4096,1575,7000,[N/A],P0
2026/02/05 00:15:01.018,68,18.98,[N/A],31,9,1578,4096,1575,7000,[N/A],P0
2026/02/05 00:15:02.086,68,19.02,[N/A],31,9,1578,4096,1575,7000,[N/A],P0
2026/02/05 00:15:03.156,68,19.01,[N/A],31,9,1578,4096,1575,7000,[N/A],P0
2026/02/05 00:15:04.226,68,18.97,[N/A],31,9,1578,4096,1575,7000,[N/A],P0
2026/02/05 00:15:05.293,68,19.65,[N/A],31,9,1578,4096,1575,7000,[N/A],P0
2026/02/05 00:15:06.361,68,18.76,[N/A],31,9,1578,4096,1575,7000,[N/A],P0
2026/02/05 00:15:07.431,68,18.96,[N/A],31,9,1578,4096,1575,7000,[N/A],P0
2026/02/05 00:15:08.498,68,19.16,[N/A],31,9,1578,4096,1575,7000,[N/A],P0
